request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-16,none,installments keeps at least USD 2100 available.
request_54,6458.84,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_55,133498.57,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-12,none,installments keeps at least INR 124300 available.
request_56,777.10,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-03-03,none,installments keeps at least USD 2100 available.
request_57,14724.02,affordable_later,wait,2026-05-15:61446,2026-05-15,none,wait keeps at least ZAR 42700 available.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,full payment keeps at least IDR 14433900 available.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-07-02,none,installments keeps at least INR 132600 available.
request_60,185.45,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-05-18,none,installments keeps at least ZAR 36700 available.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,full payment keeps at least USD 1300 available.
request_63,65339.98,affordable_with_plan,partial_payment,2026-07-07:65339.98|2026-09-15:278560.02,2026-09-15,none,partial payment keeps at least INR 153500 available.
request_64,51890.68,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-08-12,none,installments keeps at least INR 36100 available.
request_65,7114.42,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,full payment keeps at least INR 80700 available.
request_67,546.96,affordable_later,wait,2024-10-15:2094,2024-10-15,none,wait keeps at least USD 1200 available.
request_68,1631,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-04-11,none,installments keeps at least USD 1500 available.
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,full payment keeps at least EUR 700 available.
request_70,59952.21,affordable_later,wait,2025-01-15:243900,2025-01-15,none,wait keeps at least INR 115000 available.
request_71,1682440.05,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,full payment keeps at least ZAR 12200 available.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,full payment keeps at least INR 103200 available.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,full payment keeps at least ZAR 21900 available.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-06-08,none,installments keeps at least ZAR 39000 available.
request_76,1117.02,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the USD 1800 minimum protected.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,full payment keeps at least INR 82200 available.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,full payment keeps at least INR 55200 available.
request_79,318.02,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_80,140770,affordable_later,wait,2025-02-15:217500,2025-02-15,none,wait keeps at least INR 121300 available.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,full payment keeps at least USD 1600 available.
request_82,490.05,affordable_later,wait,2025-01-15:1405.20,2025-01-15,none,wait keeps at least USD 1100 available.
request_83,7242.69,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_84,40816.12,affordable_later,wait,2026-04-15:95400,2026-04-15,none,wait keeps at least INR 91300 available.
request_85,1270712.29,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the IDR 6396300 minimum protected.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,full payment keeps at least INR 84900 available.
request_87,48709.32,affordable_later,wait,2026-02-15:487900,2026-02-15,none,wait keeps at least INR 185900 available.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-08-15,none,installments keeps at least ZAR 25800 available.
request_89,10155190.82,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-13,none,installments keeps at least IDR 12534700 available.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,full payment keeps at least ZAR 7600 available.
request_91,728.87,affordable_later,wait,2024-10-15:1927.20,2024-10-15,none,wait keeps at least EUR 2100 available.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,full payment keeps at least ZAR 28100 available.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,full payment keeps at least USD 1900 available.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,full payment keeps at least EUR 600 available.
request_95,30928.85,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the INR 145500 minimum protected.
request_96,84764.35,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-03-11,none,installments keeps at least INR 56500 available.
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-05-20,none,installments keeps at least ZAR 29700 available.
request_98,9990.51,affordable_later,wait,2025-08-15:27148,2025-08-15,none,wait keeps at least ZAR 30000 available.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,full payment keeps at least ZAR 49100 available.
request_100,29616.17,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-08-14,none,installments keeps at least ZAR 32500 available.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,full payment keeps at least INR 187400 available.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-06-04,none,installments keeps at least EUR 900 available.
request_103,21711.66,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the INR 125500 minimum protected.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,full payment keeps at least ZAR 24700 available.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,full payment keeps at least INR 73900 available.
request_106,539.84,affordable_later,wait,2024-12-15:2207.70,2024-12-15,none,wait keeps at least EUR 1200 available.
request_107,1935.82,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the EUR 1600 minimum protected.
request_108,4947.66,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_109,817.23,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-19,none,installments keeps at least EUR 1700 available.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-10-01,none,installments keeps at least ZAR 11200 available.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,full payment keeps at least IDR 23022800 available.
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,full payment keeps at least EUR 500 available.
request_113,35107.63,affordable_later,wait,2026-09-15:36500,2026-09-15,none,wait keeps at least INR 82300 available.
request_114,55964.33,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_115,16371.71,affordable_later,wait,2024-10-15:80500,2024-10-15,none,wait keeps at least INR 38800 available.
request_116,27680.16,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the INR 80300 minimum protected.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,full payment keeps at least EUR 1000 available.
request_118,681.21,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-07,none,installments keeps at least EUR 600 available.
request_119,61380.69,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-07-13,none,installments keeps at least INR 151200 available.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,full payment keeps at least IDR 20050300 available.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,full payment keeps at least USD 800 available.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-09-30,none,installments keeps at least IDR 12588500 available.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,full payment keeps at least IDR 18091200 available.
request_124,1498.40,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-08-12,none,installments keeps at least EUR 1600 available.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,full payment keeps at least ZAR 11300 available.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,full payment keeps at least INR 129700 available.
request_127,13317.13,affordable_later,wait,2024-09-15:23980,2024-09-15,none,wait keeps at least ZAR 41000 available.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,full payment keeps at least ZAR 42600 available.
request_129,154.54,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the USD 800 minimum protected.
request_130,663.31,affordable_later,wait,2025-01-15:1978.80,2025-01-15,none,wait keeps at least USD 1400 available.
request_131,1217.17,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-07-01,none,installments keeps at least USD 1100 available.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,full payment keeps at least USD 1100 available.
request_133,15770000,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the IDR 9986200 minimum protected.
request_134,7343943.67,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,wait keeps at least IDR 15902500 available.
request_135,304.80,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,full payment keeps at least USD 500 available.
request_136,560.40,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,full payment keeps at least USD 1100 available.
request_137,34014.72,affordable_later,wait,2025-12-15:80100,2025-12-15,none,wait keeps at least INR 71800 available.
request_138,920.67,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-06-02,none,installments keeps at least EUR 2300 available.
request_139,1584.65,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-11-08,none,installments keeps at least USD 1500 available.
request_140,6621.97,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_141,33874.66,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,full payment keeps at least USD 1700 available.
request_143,4517.20,affordable_later,wait,2025-06-15:12584,2025-06-15,none,wait keeps at least ZAR 11300 available.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,full payment keeps at least USD 600 available.
request_145,49394.18,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-21,none,installments keeps at least INR 155400 available.
request_146,27847.22,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the INR 108600 minimum protected.
request_147,548.58,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-06-07,none,installments keeps at least EUR 900 available.
request_148,10459.85,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,none,installments keeps at least ZAR 20000 available.
request_149,30659.99,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2026-01-13,none,installments keeps at least ZAR 42100 available.
request_150,387.70,affordable_later,wait,2026-03-15:496.10,2026-03-15,none,wait keeps at least EUR 700 available.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,full payment keeps at least IDR 31633600 available.
request_152,12086.74,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-09,none,installments keeps at least ZAR 11900 available.
request_153,277.65,affordable_later,wait,2026-09-15:2830.80,2026-09-15,none,wait keeps at least USD 1400 available.
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2025-02-04,none,installments keeps at least EUR 1300 available.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,full payment keeps at least INR 56300 available.
request_156,9888.88,affordable_later,wait,2026-05-15:43076,2026-05-15,none,wait keeps at least ZAR 26900 available.
request_157,6336700.54,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,wait keeps at least IDR 15714100 available.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-10-02,none,installments keeps at least INR 131400 available.
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,full payment keeps at least ZAR 8700 available.
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-08-14,none,installments keeps at least EUR 1200 available.
request_161,4391715.85,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the IDR 23010400 minimum protected.
request_162,5463954.21,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_163,13914645.81,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-11,none,installments keeps at least IDR 26728700 available.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-04-08,none,installments keeps at least IDR 29550500 available.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,full payment keeps at least INR 95000 available.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2025-02-03,none,installments keeps at least USD 1700 available.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,full payment keeps at least ZAR 31200 available.
request_168,40564.18,affordable_later,wait,2026-03-15:49380,2026-03-15,none,wait keeps at least INR 114400 available.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,full payment keeps at least ZAR 18700 available.
request_170,34633492.64,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-10-01,none,installments keeps at least IDR 24715800 available.
request_171,69.20,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the EUR 500 minimum protected.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-07-03,none,installments keeps at least ZAR 27200 available.
request_173,70005.94,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-16,none,installments keeps at least INR 79100 available.
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-06-03,none,installments keeps at least EUR 700 available.
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,full payment keeps at least EUR 1700 available.
request_176,283.85,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the EUR 600 minimum protected.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,full payment keeps at least USD 1300 available.
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2025-02-07,none,installments keeps at least EUR 1400 available.
request_179,14489069.84,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,wait keeps at least IDR 41430800 available.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,full payment keeps at least INR 37300 available.
request_181,574.57,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the USD 2000 minimum protected.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,full payment keeps at least ZAR 31100 available.
request_183,26140161.12,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-06-09,none,installments keeps at least IDR 11878300 available.
request_184,26725.53,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the INR 110800 minimum protected.
request_185,417.43,affordable_later,wait,2025-12-15:1257.30,2025-12-15,none,wait keeps at least EUR 1300 available.
request_186,10126.67,affordable_later,wait,2026-03-15:26554,2026-03-15,none,wait keeps at least ZAR 22000 available.
request_187,45576.87,affordable_later,wait,2024-09-15:187500,2024-09-15,none,wait keeps at least INR 128300 available.
request_188,143.16,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the EUR 900 minimum protected.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,full payment keeps at least EUR 400 available.
request_190,826.74,affordable_later,wait,2025-01-15:2557.50,2025-01-15,none,wait keeps at least EUR 1600 available.
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,full payment keeps at least EUR 500 available.
request_192,220.45,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_193,211.39,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-22,none,installments keeps at least EUR 1000 available.
request_194,47772.37,affordable_later,wait,2025-09-23:132800,2025-09-23,none,wait keeps at least INR 113600 available.
request_195,770.25,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the EUR 700 minimum protected.
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,full payment keeps at least EUR 500 available.
request_197,27266614.53,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the IDR 26245900 minimum protected.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,full payment keeps at least INR 124300 available.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-11-08,none,installments keeps at least IDR 25359500 available.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,full payment keeps at least IDR 20114600 available.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,full payment keeps at least IDR 17304500 available.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,full payment keeps at least INR 147800 available.
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-07-05,none,installments keeps at least EUR 1400 available.
request_204,576.69,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,wait keeps at least EUR 1300 available.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,full payment keeps at least IDR 13994300 available.
request_206,1404.70,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_207,6065.40,affordable_later,wait,2026-07-15:11830,2026-07-15,none,wait keeps at least ZAR 13600 available.
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,full payment keeps at least IDR 10470700 available.
request_209,2350.34,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the ZAR 18400 minimum protected.
request_210,954.88,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-06-01,none,installments keeps at least USD 2000 available.
request_211,515.32,affordable_later,wait,2024-10-15:1788.60,2024-10-15,none,wait keeps at least EUR 1500 available.
request_212,7756515.92,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the IDR 29579800 minimum protected.
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-03-22,none,installments keeps at least USD 2100 available.
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2025-01-01,none,installments keeps at least INR 174900 available.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-07-04,none,installments keeps at least ZAR 15700 available.
request_216,710.77,affordable_later,wait,2026-07-15:3332.40,2026-07-15,none,wait keeps at least USD 1800 available.
request_217,23028.54,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-20,none,installments keeps at least ZAR 26800 available.
request_218,27553020.13,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-10-02,none,installments keeps at least IDR 34477200 available.
request_219,793.92,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-06-06,none,installments keeps at least EUR 1100 available.
request_220,180.76,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the EUR 1100 minimum protected.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,full payment keeps at least INR 81500 available.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,full payment keeps at least ZAR 27300 available.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,full payment keeps at least EUR 800 available.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-03-04,none,installments keeps at least IDR 22187600 available.
request_225,11241524.47,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-18,none,installments keeps at least IDR 17670700 available.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,full payment keeps at least INR 209400 available.
request_227,12861.34,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the INR 62900 minimum protected.
request_228,4656900,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_229,550.76,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-19,none,installments keeps at least EUR 1000 available.
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,full payment keeps at least EUR 2000 available.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-03-07,none,installments keeps at least ZAR 24300 available.
request_232,928.60,affordable_later,wait,2024-06-15:1970.10,2024-06-15,none,wait keeps at least EUR 2400 available.
request_233,0,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the IDR 10365700 minimum protected.
request_234,341.35,affordable_later,wait,2026-08-15:1213.30,2026-08-15,none,wait keeps at least EUR 700 available.
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,full payment keeps at least USD 700 available.
request_236,7443718.01,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,full payment keeps at least IDR 22431500 available.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2025-02-07,none,installments keeps at least USD 700 available.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,full payment keeps at least USD 600 available.
request_240,24800.73,affordable_with_plan,partial_payment,2026-01-06:24800.73|2026-01-15:76399.27,2026-01-15,none,partial payment keeps at least INR 52800 available.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-05-18,none,installments keeps at least IDR 19252000 available.
request_242,0,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,full payment keeps at least ZAR 19900 available.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,full payment keeps at least ZAR 45900 available.
request_245,41863.61,affordable_later,wait,2025-11-15:128500,2025-11-15,none,wait keeps at least INR 94600 available.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-06-02,none,installments keeps at least ZAR 39300 available.
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,full payment keeps at least EUR 1300 available.
request_248,1026.80,affordable_later,wait,2025-03-15:1965.60,2025-03-15,none,wait keeps at least USD 1300 available.
request_249,214.02,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the USD 600 minimum protected.
